,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,40,0,20,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,40,0,20,0,10,0,0,0,0,0.0,0.0,0.023529411764705882,0.004705882352941176,0.0,0,0,0
2,37,3,20,0,10,0,0,0,0,0.0,0.0,0.047058823529411764,0.009411764705882352,0.0,3,0,0
3,36,4,20,0,10,0,0,0,0,0.0,0.0,0.06352941176470588,0.01411764705882353,0.0,4,0,0
4,36,4,20,0,10,0,0,0,0,0.0,0.0,0.08235294117647059,0.018823529411764704,0.0,4,0,0
5,33,7,20,0,10,0,0,0,0,4.0,0.0,0.1011764705882353,0.02588235294117647,0.0,6,0,0
6,33,5,19,1,10,0,0,1,0,4.0,0.0,0.11294117647058824,0.03294117647058824,0.0,6,1,0
7,32,6,19,1,10,0,0,1,0,7.0,0.0,0.12705882352941175,0.04,0.0,6,1,0
8,31,5,19,1,10,0,0,2,0,8.666666666666666,0.0,0.1388235294117647,0.04941176470588235,0.0,6,1,0
9,31,3,18,2,10,0,0,3,0,8.666666666666666,6.0,0.14823529411764705,0.058823529411764705,0.0,6,1,0
10,30,4,17,1,10,0,0,3,1,9.0,6.0,0.16,0.06588235294117648,0.0,6,2,0
11,29,3,17,1,10,0,0,4,1,10.8,6.0,0.17411764705882352,0.07058823529411765,0.0,6,2,0
12,29,1,17,2,10,0,0,5,1,10.8,5.0,0.18588235294117647,0.08,0.0,5,2,0
13,29,1,17,0,10,0,0,5,2,10.8,5.0,0.1952941176470588,0.08941176470588236,0.0,5,2,0
14,28,2,17,0,11,0,0,5,2,10.8,5.0,0.20941176470588235,0.0988235294117647,0.0,6,1,0
15,28,2,19,0,11,0,0,5,2,10.8,5.0,0.2188235294117647,0.10823529411764705,0.0,4,1,0
16,27,3,19,0,11,0,0,5,2,9.666666666666666,5.0,0.22588235294117648,0.12,0.0,4,1,0
17,26,2,20,0,11,0,0,6,2,11.714285714285714,5.0,0.23529411764705882,0.13176470588235295,0.0,3,1,0
