,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,40,0,20,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,39,1,20,0,10,0,0,0,0,0.0,0.0,0.007142857142857143,0.007692307692307693,0.0,1,0,0
2,38,2,19,1,10,0,0,0,0,0.0,0.0,0.010714285714285714,0.015384615384615385,0.0,2,1,0
3,38,2,19,1,10,0,0,0,0,0.0,0.0,0.014285714285714285,0.019230769230769232,0.0,2,1,0
4,37,3,19,1,10,0,0,0,0,6.0,0.0,0.02142857142857143,0.026923076923076925,0.0,2,1,0
5,36,2,19,1,10,0,0,1,0,6.0,0.0,0.025,0.03076923076923077,0.0038461538461538464,2,1,0
6,36,0,19,1,10,0,0,2,0,6.0,0.0,0.025,0.03461538461538462,0.007692307692307693,2,1,0
7,36,0,19,1,10,0,0,2,0,6.0,0.0,0.02857142857142857,0.038461538461538464,0.011538461538461539,2,1,0
8,36,0,19,1,10,0,0,2,0,6.0,0.0,0.03571428571428571,0.04230769230769231,0.015384615384615385,2,1,0
9,36,0,19,1,9,1,0,2,0,6.0,0.0,0.04285714285714286,0.046153846153846156,0.019230769230769232,2,1,1
10,36,0,19,1,9,1,0,2,0,6.0,0.0,0.05,0.05,0.019230769230769232,2,1,1
11,36,0,19,1,9,1,0,2,0,6.0,0.0,0.05714285714285714,0.05384615384615385,0.023076923076923078,2,1,1
12,36,0,19,1,9,1,0,2,0,6.0,0.0,0.06428571428571428,0.057692307692307696,0.026923076923076925,2,1,1
13,36,0,19,1,9,1,0,2,0,6.0,0.0,0.07142857142857142,0.06153846153846154,0.03076923076923077,2,1,1
14,36,0,19,2,9,1,0,2,0,6.0,24.0,0.07857142857142857,0.06538461538461539,0.03461538461538462,1,1,1
15,36,0,19,0,9,1,0,2,1,6.0,24.0,0.08214285714285714,0.06538461538461539,0.038461538461538464,1,1,1
16,36,0,20,0,10,1,0,2,1,6.0,24.0,0.08928571428571429,0.06538461538461539,0.04230769230769231,0,0,1
17,35,1,20,0,10,1,0,2,1,6.0,24.0,0.09285714285714286,0.06538461538461539,0.046153846153846156,1,0,1
18,34,2,20,0,10,0,1,2,1,6.0,24.0,0.09642857142857143,0.06923076923076923,0.05,2,0,0
19,34,2,20,0,10,0,1,2,1,6.0,24.0,0.1,0.07307692307692308,0.05,2,0,0
20,34,2,20,0,10,0,1,2,1,6.0,24.0,0.10714285714285714,0.07692307692307693,0.05384615384615385,2,0,0
21,34,2,20,0,10,0,1,2,1,6.0,24.0,0.11428571428571428,0.08076923076923077,0.057692307692307696,2,0,0
22,34,2,20,0,10,0,1,2,1,6.0,24.0,0.12142857142857143,0.08461538461538462,0.06153846153846154,2,0,0
23,34,2,20,0,9,1,1,2,1,6.0,24.0,0.12857142857142856,0.08846153846153847,0.06538461538461539,2,0,1
24,33,3,20,0,9,1,1,2,1,8.0,24.0,0.1357142857142857,0.09230769230769231,0.06538461538461539,2,0,1
25,33,1,20,0,9,1,1,3,1,8.0,24.0,0.1392857142857143,0.09615384615384616,0.06538461538461539,2,0,1
26,32,2,20,0,9,1,1,3,1,10.5,24.0,0.14285714285714285,0.1,0.06538461538461539,2,0,1
27,32,0,20,0,9,0,2,4,1,10.5,24.0,0.14642857142857144,0.10384615384615385,0.06538461538461539,2,0,0
28,32,0,20,0,9,0,2,4,1,10.5,24.0,0.15,0.1076923076923077,0.06538461538461539,2,0,0
29,32,0,21,0,9,0,2,4,1,10.5,24.0,0.15714285714285714,0.11153846153846154,0.06923076923076923,1,0,0
30,32,0,21,0,9,0,2,4,1,10.5,24.0,0.16071428571428573,0.11538461538461539,0.07307692307692308,1,0,0
31,32,0,20,1,9,0,2,4,1,10.5,24.0,0.16785714285714284,0.11923076923076924,0.07692307692307693,1,1,0
32,32,0,20,1,9,0,2,4,1,10.5,24.0,0.175,0.11923076923076924,0.08076923076923077,1,1,0
33,31,1,20,1,9,0,2,4,1,10.5,24.0,0.18214285714285713,0.11923076923076924,0.08461538461538462,2,1,0
34,30,2,19,2,9,0,2,4,1,8.8,15.0,0.18571428571428572,0.11923076923076924,0.08846153846153847,2,1,0
35,30,0,20,0,9,0,2,5,2,8.8,15.0,0.18928571428571428,0.11923076923076924,0.09230769230769231,1,1,0
36,30,0,20,0,9,0,2,5,2,8.8,15.0,0.18928571428571428,0.11923076923076924,0.09615384615384616,1,1,0
37,29,1,21,0,9,0,2,5,2,8.8,15.0,0.19285714285714287,0.12307692307692308,0.1,1,1,0
38,29,1,21,0,9,0,2,5,2,8.8,15.0,0.19285714285714287,0.12692307692307692,0.10384615384615385,1,1,0
39,29,1,21,0,9,0,2,5,2,8.8,15.0,0.2,0.13076923076923078,0.1076923076923077,1,1,0
40,29,1,21,0,9,0,2,5,2,8.8,15.0,0.20714285714285716,0.13076923076923078,0.11153846153846154,1,1,0
41,29,1,21,0,9,0,2,5,2,8.8,15.0,0.21428571428571427,0.13076923076923078,0.11538461538461539,1,1,0
