,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,40,0,20,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,40,0,20,0,10,0,0,0,0,0.0,0.0,0.021176470588235293,0.004705882352941176,0.0025,0,0,0
2,38,2,20,0,10,0,0,0,0,0.0,0.0,0.042352941176470586,0.009411764705882352,0.005,2,0,0
3,36,4,20,0,10,0,0,0,0,2.0,0.0,0.05647058823529412,0.01411764705882353,0.005,3,0,0
4,35,3,20,0,10,0,0,1,0,2.0,0.0,0.07058823529411765,0.01647058823529412,0.005,4,0,0
5,34,4,20,0,10,0,0,1,0,3.0,0.0,0.08,0.021176470588235293,0.0075,4,0,0
6,34,2,20,0,10,0,0,2,0,3.0,0.0,0.09411764705882353,0.02588235294117647,0.01,4,0,0
7,34,2,20,0,10,0,0,2,0,3.0,0.0,0.10352941176470588,0.03058823529411765,0.01,4,0,0
8,33,3,20,0,10,0,0,2,0,6.0,0.0,0.1223529411764706,0.03529411764705882,0.01,4,0,0
9,32,2,20,0,10,0,0,3,0,6.0,0.0,0.1388235294117647,0.03764705882352941,0.0125,5,0,0
10,32,2,20,0,10,0,0,3,0,6.0,0.0,0.15058823529411763,0.042352941176470586,0.015,5,0,0
11,31,3,20,0,10,0,0,3,0,5.5,0.0,0.16470588235294117,0.04470588235294118,0.0175,5,0,0
12,31,1,20,0,10,0,0,4,0,5.5,0.0,0.1811764705882353,0.04941176470588235,0.0175,5,0,0
13,31,1,20,0,10,0,0,4,0,5.5,0.0,0.1976470588235294,0.05647058823529412,0.0175,5,0,0
14,31,1,20,0,10,0,0,4,0,5.5,0.0,0.20941176470588235,0.06352941176470588,0.02,5,0,0
15,31,1,21,0,10,0,0,4,0,5.5,0.0,0.2235294117647059,0.07058823529411765,0.0225,4,0,0
16,30,2,22,0,10,0,0,4,0,9.2,0.0,0.23529411764705882,0.07764705882352942,0.0225,3,0,0
17,30,0,21,1,10,0,0,5,0,9.2,0.0,0.24235294117647058,0.08705882352941176,0.025,3,1,0
18,30,0,21,1,10,0,0,5,0,9.2,0.0,0.24941176470588236,0.08941176470588236,0.03,3,1,0
19,30,0,21,2,10,0,0,5,0,9.2,4.0,0.25882352941176473,0.0988235294117647,0.0325,2,1,0
20,30,0,20,1,10,0,0,5,1,9.2,4.0,0.2635294117647059,0.10352941176470588,0.035,2,2,0
21,30,0,20,1,10,0,0,5,1,9.2,4.0,0.26823529411764707,0.10588235294117647,0.0375,2,2,0
22,30,0,19,2,10,0,0,5,1,9.2,4.0,0.2752941176470588,0.11764705882352941,0.0375,2,2,0
23,30,0,20,0,10,0,0,5,2,9.2,4.0,0.2847058823529412,0.12,0.0375,1,2,0
24,30,0,20,0,10,0,0,5,2,9.2,4.0,0.28941176470588237,0.1223529411764706,0.0375,1,2,0
25,29,1,20,0,10,0,0,5,2,9.2,4.0,0.2964705882352941,0.12705882352941175,0.0425,2,2,0
26,29,1,20,0,10,0,0,5,2,9.2,4.0,0.30117647058823527,0.13176470588235295,0.045,2,2,0
27,28,2,20,0,10,0,0,5,2,9.2,4.0,0.30823529411764705,0.13647058823529412,0.045,3,2,0
28,28,2,20,0,10,0,0,5,2,9.2,4.0,0.31058823529411766,0.1411764705882353,0.05,3,2,0
29,28,2,20,0,10,0,0,5,2,9.2,4.0,0.3176470588235294,0.14588235294117646,0.05,3,2,0
30,28,2,20,0,10,0,0,5,2,9.2,4.0,0.32235294117647056,0.15058823529411763,0.05,3,2,0
31,28,2,21,0,10,0,0,5,2,9.2,4.0,0.32941176470588235,0.16,0.0525,2,2,0
32,28,2,20,1,10,0,0,5,2,9.2,4.0,0.33176470588235296,0.16705882352941176,0.055,2,3,0
33,28,2,20,1,11,0,0,5,2,9.2,4.0,0.33647058823529413,0.17176470588235293,0.0575,2,2,0
34,28,2,19,2,11,0,0,5,2,9.2,4.0,0.3411764705882353,0.17411764705882352,0.0575,2,2,0
35,28,2,19,0,12,0,0,5,3,9.2,4.0,0.34823529411764703,0.17647058823529413,0.06,2,1,0
36,28,2,19,0,12,0,0,5,3,9.2,4.0,0.34823529411764703,0.17882352941176471,0.06,2,1,0
37,28,2,19,0,12,0,0,5,3,9.2,4.0,0.34823529411764703,0.1811764705882353,0.06,2,1,0
38,28,2,19,0,12,0,0,5,3,9.2,4.0,0.35294117647058826,0.18352941176470589,0.06,2,1,0
39,28,2,19,0,12,0,0,5,3,9.2,4.0,0.3552941176470588,0.18588235294117647,0.06,2,1,0
40,28,2,19,0,12,0,0,5,3,9.2,4.0,0.36,0.18823529411764706,0.0625,2,1,0
41,28,2,19,0,12,0,0,5,3,9.2,4.0,0.36470588235294116,0.19058823529411764,0.065,2,1,0
42,28,2,19,0,12,0,0,5,3,9.2,4.0,0.37176470588235294,0.19294117647058823,0.0675,2,1,0
43,28,2,18,1,12,0,0,5,3,9.2,4.0,0.3788235294117647,0.1952941176470588,0.0675,2,2,0
44,27,3,18,1,12,0,0,5,3,9.2,4.0,0.3835294117647059,0.1952941176470588,0.0675,3,2,0
45,27,3,17,2,12,0,0,5,3,9.2,4.0,0.38588235294117645,0.1976470588235294,0.0675,3,2,0
46,27,3,17,0,12,0,0,5,4,9.2,4.0,0.38823529411764707,0.1976470588235294,0.07,3,2,0
47,27,3,17,0,12,0,0,5,4,9.2,4.0,0.39294117647058824,0.1976470588235294,0.0725,3,2,0
48,27,3,17,0,14,0,0,5,4,9.2,4.0,0.3976470588235294,0.1976470588235294,0.075,3,0,0
49,27,3,17,0,14,0,0,5,4,9.2,4.0,0.4,0.1976470588235294,0.08,3,0,0
50,27,3,17,0,14,0,0,5,4,9.2,4.0,0.4,0.2,0.0825,3,0,0
51,27,3,17,0,14,0,0,5,4,9.2,4.0,0.4023529411764706,0.2,0.0825,3,0,0
52,27,3,17,0,14,0,0,5,4,9.2,4.0,0.4047058823529412,0.2023529411764706,0.085,3,0,0
53,26,4,17,0,14,0,0,5,4,9.2,4.0,0.4117647058823529,0.2023529411764706,0.0875,4,0,0
54,26,4,17,0,14,0,0,5,4,9.2,4.0,0.4164705882352941,0.2023529411764706,0.09,4,0,0
55,26,4,17,0,14,0,0,5,4,9.2,4.0,0.4211764705882353,0.20470588235294118,0.09,4,0,0
56,26,4,16,1,13,1,0,5,4,9.2,4.0,0.4211764705882353,0.20705882352941177,0.0925,4,1,1
57,26,4,15,2,13,1,0,5,4,9.2,4.0,0.4235294117647059,0.20941176470588235,0.095,4,2,1
58,25,5,15,2,13,1,0,5,4,12.333333333333334,4.0,0.42823529411764705,0.21176470588235294,0.0975,4,2,1
59,25,3,15,2,13,1,0,6,4,12.333333333333334,4.0,0.4329411764705882,0.2188235294117647,0.0975,4,2,1
60,24,4,15,2,13,1,0,6,4,12.571428571428571,4.0,0.4376470588235294,0.2235294117647059,0.1,4,2,1
61,24,2,15,2,13,1,0,7,4,12.571428571428571,4.0,0.44,0.22588235294117648,0.1,4,2,1
62,24,2,16,2,13,1,0,7,4,12.571428571428571,4.0,0.4447058823529412,0.22823529411764706,0.1025,3,2,1
63,24,2,16,2,13,1,0,7,4,12.571428571428571,4.0,0.4447058823529412,0.23058823529411765,0.105,3,2,1
64,24,2,16,2,13,1,0,7,4,12.571428571428571,4.0,0.4447058823529412,0.23294117647058823,0.1075,3,2,1
65,24,2,16,3,13,1,0,7,4,12.571428571428571,4.0,0.4470588235294118,0.23294117647058823,0.11,2,3,1
66,24,2,16,3,13,1,0,7,4,12.571428571428571,4.0,0.45176470588235296,0.23294117647058823,0.1125,2,3,1
67,24,2,15,4,13,1,0,7,4,12.571428571428571,4.0,0.4588235294117647,0.23294117647058823,0.115,2,3,1
68,24,2,15,2,13,1,0,7,5,12.571428571428571,4.0,0.4611764705882353,0.23294117647058823,0.1175,2,3,1
69,24,2,15,2,13,1,0,7,5,12.571428571428571,4.0,0.46352941176470586,0.23529411764705882,0.12,2,3,1
70,24,2,15,2,13,1,0,7,5,12.571428571428571,4.0,0.46352941176470586,0.24,0.1225,2,3,1
71,24,2,15,2,13,1,0,7,5,12.571428571428571,4.0,0.46352941176470586,0.24235294117647058,0.1275,2,3,1
72,24,2,15,2,13,1,0,7,5,12.571428571428571,4.0,0.46588235294117647,0.24235294117647058,0.13,2,3,1
73,23,3,15,2,13,0,1,7,5,12.571428571428571,4.0,0.47058823529411764,0.2447058823529412,0.1325,3,3,0
74,23,3,15,2,13,0,1,7,5,12.571428571428571,4.0,0.47294117647058825,0.2447058823529412,0.1325,3,3,0
75,23,3,15,2,13,0,1,7,5,12.571428571428571,4.0,0.4752941176470588,0.24941176470588236,0.1325,3,3,0
76,23,3,15,2,13,0,1,7,5,12.571428571428571,4.0,0.4776470588235294,0.2541176470588235,0.1325,3,3,0
77,23,3,15,2,13,0,1,7,5,12.571428571428571,4.0,0.4823529411764706,0.2635294117647059,0.1325,3,3,0
78,23,3,15,2,12,1,1,7,5,12.571428571428571,4.0,0.4823529411764706,0.27294117647058824,0.135,3,3,1
79,23,3,13,4,12,1,1,7,5,12.571428571428571,11.0,0.4823529411764706,0.2823529411764706,0.135,3,4,1
80,23,3,13,2,12,1,1,7,6,12.571428571428571,11.0,0.4823529411764706,0.28705882352941176,0.1375,3,4,1
81,23,3,13,2,11,2,1,7,6,12.571428571428571,11.0,0.48470588235294115,0.2917647058823529,0.14,3,4,2
82,22,4,12,3,11,1,2,7,6,25.25,10.285714285714286,0.4894117647058824,0.2988235294117647,0.1425,3,4,1
83,22,2,12,1,11,1,2,8,7,25.25,10.285714285714286,0.49176470588235294,0.3035294117647059,0.1425,3,4,1
84,22,2,12,1,11,1,2,8,7,25.25,10.285714285714286,0.49411764705882355,0.30823529411764705,0.145,3,4,1
85,22,2,11,2,11,1,2,8,7,25.25,16.0,0.4988235294117647,0.31529411764705884,0.1475,3,4,1
86,22,2,11,0,13,1,2,8,8,25.25,16.0,0.5011764705882353,0.3176470588235294,0.15,3,2,1
87,22,2,11,0,13,1,2,8,8,25.25,16.0,0.5058823529411764,0.32,0.155,3,2,1
88,22,2,12,0,13,1,2,8,8,25.25,16.0,0.5058823529411764,0.32,0.16,2,2,1
89,22,2,12,0,14,1,2,8,8,25.25,16.0,0.5058823529411764,0.32,0.165,2,1,1
90,22,2,12,0,14,1,2,8,8,25.25,16.0,0.5058823529411764,0.32,0.17,2,1,1
91,22,2,12,0,14,1,2,8,8,25.25,16.0,0.5058823529411764,0.32,0.175,2,1,1
92,22,2,12,0,14,1,2,8,8,25.25,16.0,0.508235294117647,0.32,0.18,2,1,1
93,22,2,12,0,14,1,2,8,8,25.25,16.0,0.5105882352941177,0.32235294117647056,0.185,2,1,1
94,22,2,12,0,14,1,2,8,8,25.25,16.0,0.5129411764705882,0.3247058823529412,0.19,2,1,1
95,21,3,12,0,14,1,2,8,8,25.25,16.0,0.5176470588235295,0.3270588235294118,0.1925,3,1,1
96,21,3,12,0,14,1,2,8,8,25.25,16.0,0.5176470588235295,0.33176470588235296,0.1975,3,1,1
97,21,3,12,0,15,1,2,8,8,25.25,16.0,0.5176470588235295,0.33647058823529413,0.2,3,0,1
98,21,3,12,0,15,0,3,8,8,25.25,16.0,0.5176470588235295,0.3411764705882353,0.2025,3,0,0
99,21,3,12,0,15,0,3,8,8,25.25,16.0,0.52,0.3458823529411765,0.2025,3,0,0
100,21,3,12,0,15,0,3,8,8,25.25,16.0,0.5247058823529411,0.35058823529411764,0.2025,3,0,0
101,21,3,12,0,14,1,3,8,8,25.25,16.0,0.5247058823529411,0.35294117647058826,0.205,3,0,1
102,21,3,12,0,14,1,3,8,8,25.25,16.0,0.5247058823529411,0.3552941176470588,0.205,3,0,1
103,21,3,12,0,14,0,4,8,8,25.25,16.0,0.5270588235294118,0.36,0.2075,3,0,0
104,20,4,11,1,14,0,4,8,8,25.25,16.0,0.5294117647058824,0.3623529411764706,0.2075,4,1,0
105,20,4,11,1,14,0,4,8,8,25.25,16.0,0.5294117647058824,0.3623529411764706,0.2075,4,1,0
106,20,4,11,1,14,0,4,8,8,25.25,16.0,0.5317647058823529,0.3623529411764706,0.21,4,1,0
107,20,4,11,1,13,1,4,8,8,25.25,16.0,0.5341176470588235,0.3623529411764706,0.2125,4,1,1
108,20,4,11,1,13,1,4,8,8,25.25,16.0,0.5388235294117647,0.3623529411764706,0.215,4,1,1
109,20,4,11,1,13,1,4,8,8,25.25,16.0,0.5411764705882353,0.3623529411764706,0.22,4,1,1
110,20,4,11,1,13,1,4,8,8,25.25,16.0,0.5435294117647059,0.3623529411764706,0.225,4,1,1
111,19,5,11,1,13,1,4,8,8,26.0,16.0,0.5458823529411765,0.3623529411764706,0.23,4,1,1
112,19,3,11,1,12,2,4,9,8,26.0,16.0,0.548235294117647,0.3623529411764706,0.2325,4,1,2
113,18,4,11,1,12,2,4,9,8,25.2,16.0,0.5505882352941176,0.3623529411764706,0.235,4,1,2
114,18,2,11,1,12,2,4,10,8,25.2,16.0,0.5529411764705883,0.3623529411764706,0.2375,4,1,2
115,18,2,11,1,12,2,4,10,8,25.2,16.0,0.5529411764705883,0.3623529411764706,0.24,4,1,2
116,18,2,9,3,12,2,4,10,8,25.2,16.88888888888889,0.5552941176470588,0.3623529411764706,0.2425,4,2,2
117,18,2,9,1,12,2,4,10,9,25.2,16.88888888888889,0.5552941176470588,0.3623529411764706,0.245,4,2,2
118,18,2,8,2,12,2,4,10,9,25.2,15.6,0.5576470588235294,0.3623529411764706,0.2475,4,2,2
119,18,2,8,1,12,2,4,10,10,25.2,15.6,0.56,0.36470588235294116,0.25,3,3,2
120,18,2,8,1,12,1,5,10,10,25.2,15.6,0.56,0.36705882352941177,0.2525,3,3,1
121,18,2,8,1,12,1,5,10,10,25.2,15.6,0.56,0.37176470588235294,0.255,3,3,1
122,18,2,9,1,12,1,5,10,10,25.2,15.6,0.56,0.3764705882352941,0.2575,2,3,1
123,18,2,9,1,12,1,5,10,10,25.2,15.6,0.56,0.3788235294117647,0.26,2,3,1
124,18,2,8,2,12,0,6,10,10,25.2,15.090909090909092,0.56,0.3835294117647059,0.2625,2,3,0
