,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,8,0,4,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,8,0,4,0,2,0,0,0,0,0.0,0.0,0.02142857142857143,0.011538461538461539,0.0,0,0,0
2,7,1,4,0,2,0,0,0,0,0.0,0.0,0.039285714285714285,0.026923076923076925,0.0,1,0,0
3,7,1,4,0,2,0,0,0,0,0.0,0.0,0.05,0.038461538461538464,0.0,1,0,0
4,7,1,4,0,2,0,0,0,0,0.0,0.0,0.060714285714285714,0.05,0.0,1,0,0
5,7,1,4,0,2,0,0,0,0,0.0,0.0,0.06785714285714285,0.06538461538461539,0.0,1,0,0
6,7,1,4,0,2,0,0,0,0,0.0,0.0,0.08214285714285714,0.07307692307692308,0.0,1,0,0
7,7,1,4,0,2,0,0,0,0,0.0,0.0,0.08928571428571429,0.07692307692307693,0.0038461538461538464,1,0,0
8,7,1,4,0,2,0,0,0,0,0.0,0.0,0.1,0.08461538461538462,0.007692307692307693,1,0,0
9,7,1,4,0,2,0,0,0,0,0.0,0.0,0.1,0.1,0.007692307692307693,1,0,0
10,7,1,4,0,2,0,0,0,0,0.0,0.0,0.10357142857142858,0.11153846153846154,0.007692307692307693,1,0,0
11,7,1,4,0,2,0,0,0,0,0.0,0.0,0.10714285714285714,0.12307692307692308,0.007692307692307693,1,0,0
12,7,1,4,0,2,0,0,0,0,0.0,0.0,0.11428571428571428,0.1346153846153846,0.007692307692307693,1,0,0
13,7,1,3,1,2,0,0,0,0,0.0,0.0,0.12142857142857143,0.15,0.011538461538461539,1,1,0
14,7,1,3,1,2,0,0,0,0,0.0,0.0,0.125,0.16153846153846155,0.011538461538461539,1,1,0
15,7,1,3,1,2,0,0,0,0,0.0,0.0,0.13214285714285715,0.16923076923076924,0.011538461538461539,1,1,0
16,7,1,3,1,2,0,0,0,0,0.0,0.0,0.1357142857142857,0.18076923076923077,0.015384615384615385,1,1,0
17,7,1,3,1,2,0,0,0,0,0.0,0.0,0.1357142857142857,0.19230769230769232,0.019230769230769232,1,1,0
18,7,1,2,2,2,0,0,0,0,0.0,10.0,0.1392857142857143,0.2,0.023076923076923078,1,1,0
19,7,1,2,0,2,0,0,0,1,0.0,10.0,0.14285714285714285,0.20384615384615384,0.026923076923076925,1,1,0
20,7,1,2,0,2,0,0,0,1,0.0,10.0,0.15357142857142858,0.2076923076923077,0.026923076923076925,1,1,0
21,6,2,2,0,2,0,0,0,1,38.0,10.0,0.16071428571428573,0.2153846153846154,0.026923076923076925,1,1,0
22,6,0,2,0,2,0,0,1,1,38.0,10.0,0.16428571428571428,0.21923076923076923,0.03076923076923077,1,1,0
23,6,0,2,0,2,0,0,1,1,38.0,10.0,0.16785714285714284,0.2230769230769231,0.03461538461538462,1,1,0
24,6,0,2,0,2,0,0,1,1,38.0,10.0,0.175,0.23076923076923078,0.03461538461538462,1,1,0
25,6,0,2,0,2,0,0,1,1,38.0,10.0,0.18571428571428572,0.23846153846153847,0.038461538461538464,1,1,0
26,6,0,3,0,3,0,0,1,1,38.0,10.0,0.18928571428571428,0.2423076923076923,0.04230769230769231,0,0,0
27,6,0,3,0,2,1,0,1,1,38.0,10.0,0.18928571428571428,0.24615384615384617,0.04230769230769231,0,0,1
28,6,0,3,0,2,1,0,1,1,38.0,10.0,0.19285714285714287,0.25,0.04230769230769231,0,0,1
29,6,0,3,0,2,1,0,1,1,38.0,10.0,0.20357142857142857,0.25384615384615383,0.04230769230769231,0,0,1
30,6,0,3,0,2,1,0,1,1,38.0,10.0,0.20714285714285716,0.26153846153846155,0.046153846153846156,0,0,1
31,6,0,3,0,2,1,0,1,1,38.0,10.0,0.21071428571428572,0.27307692307692305,0.05,0,0,1
32,6,0,3,0,2,1,0,1,1,38.0,10.0,0.21785714285714286,0.28076923076923077,0.05384615384615385,0,0,1
33,6,0,3,0,2,1,0,1,1,38.0,10.0,0.21785714285714286,0.28076923076923077,0.057692307692307696,0,0,1
34,6,0,3,0,2,1,0,1,1,38.0,10.0,0.21785714285714286,0.28076923076923077,0.06153846153846154,0,0,1
35,6,0,3,0,2,1,0,1,1,38.0,10.0,0.22142857142857142,0.28846153846153844,0.06923076923076923,0,0,1
36,6,0,3,0,2,1,0,1,1,38.0,10.0,0.22142857142857142,0.29615384615384616,0.07692307692307693,0,0,1
37,6,0,3,0,2,1,0,1,1,38.0,10.0,0.22142857142857142,0.3,0.08076923076923077,0,0,1
38,6,0,3,0,2,1,0,1,1,38.0,10.0,0.22142857142857142,0.3,0.08461538461538462,0,0,1
39,6,0,3,0,2,1,0,1,1,38.0,10.0,0.22142857142857142,0.3,0.08846153846153847,0,0,1
40,6,0,3,0,2,1,0,1,1,38.0,10.0,0.225,0.3038461538461538,0.09230769230769231,0,0,1
41,6,0,3,0,2,0,1,1,1,38.0,10.0,0.22857142857142856,0.3076923076923077,0.09615384615384616,0,0,0
42,6,0,3,0,2,0,1,1,1,38.0,10.0,0.22857142857142856,0.31153846153846154,0.09615384615384616,0,0,0
43,6,0,3,0,2,0,1,1,1,38.0,10.0,0.23214285714285715,0.31153846153846154,0.09615384615384616,0,0,0
44,6,0,3,0,2,0,1,1,1,38.0,10.0,0.24285714285714285,0.3153846153846154,0.1,0,0,0
45,6,0,3,0,2,0,1,1,1,38.0,10.0,0.24642857142857144,0.3230769230769231,0.1,0,0,0
46,6,0,3,0,2,0,1,1,1,38.0,10.0,0.24642857142857144,0.33076923076923076,0.1,0,0,0
47,6,0,3,0,2,0,1,1,1,38.0,10.0,0.24642857142857144,0.33076923076923076,0.1,0,0,0
48,6,0,3,0,2,0,1,1,1,38.0,10.0,0.24642857142857144,0.33076923076923076,0.1,0,0,0
49,6,0,3,0,2,0,1,1,1,38.0,10.0,0.24642857142857144,0.33076923076923076,0.1,0,0,0
50,6,0,3,0,2,0,1,1,1,38.0,10.0,0.25,0.33076923076923076,0.1,0,0,0
51,6,0,3,0,1,1,1,1,1,38.0,10.0,0.25357142857142856,0.33076923076923076,0.10384615384615385,0,0,1
52,6,0,3,0,1,1,1,1,1,38.0,10.0,0.25357142857142856,0.3346153846153846,0.10384615384615385,0,0,1
53,6,0,3,0,1,1,1,1,1,38.0,10.0,0.25357142857142856,0.3384615384615385,0.10384615384615385,0,0,1
