,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,20,0,10,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,20,0,10,0,5,0,0,0,0,0.0,0.0,0.018823529411764704,0.007058823529411765,0.0025,0,0,0
2,20,0,9,1,5,0,0,0,0,0.0,0.0,0.03764705882352941,0.01411764705882353,0.005,0,1,0
3,19,1,9,1,5,0,0,0,0,0.0,0.0,0.05411764705882353,0.018823529411764704,0.0075,1,1,0
4,19,1,9,1,5,0,0,0,0,0.0,0.0,0.06823529411764706,0.02588235294117647,0.01,1,1,0
5,19,1,9,1,5,0,0,0,0,0.0,0.0,0.08705882352941176,0.03294117647058824,0.0125,1,1,0
6,19,1,9,1,5,0,0,0,0,0.0,0.0,0.10588235294117647,0.04,0.015,1,1,0
7,17,3,9,1,5,0,0,0,0,0.0,0.0,0.12470588235294118,0.047058823529411764,0.0175,3,1,0
8,16,4,8,2,5,0,0,0,0,10.0,12.0,0.13647058823529412,0.05411764705882353,0.02,3,1,0
9,15,3,8,0,5,0,0,1,1,10.0,12.0,0.15058823529411763,0.058823529411764705,0.0225,4,1,0
10,15,3,8,0,5,0,0,1,1,10.0,12.0,0.1623529411764706,0.06352941176470588,0.025,4,1,0
11,14,4,8,0,5,0,0,1,1,10.0,12.0,0.17647058823529413,0.07294117647058823,0.0275,5,1,0
12,14,4,7,1,5,0,0,1,1,10.0,12.0,0.18823529411764706,0.08235294117647059,0.03,5,2,0
13,14,4,7,1,5,0,0,1,1,10.0,12.0,0.2,0.09176470588235294,0.0325,5,2,0
14,13,5,6,2,4,1,0,1,1,12.0,12.0,0.21176470588235294,0.10352941176470588,0.035,5,3,1
15,13,3,6,2,4,1,0,2,1,12.0,12.0,0.2211764705882353,0.11294117647058824,0.035,5,3,1
16,13,3,6,2,4,1,0,2,1,12.0,12.0,0.23058823529411765,0.12470588235294118,0.0375,5,3,1
17,13,3,5,3,4,1,0,2,1,12.0,9.0,0.24,0.13647058823529412,0.04,5,3,1
18,12,4,6,1,4,1,0,2,2,12.666666666666666,9.0,0.25176470588235295,0.14588235294117646,0.0425,4,3,1
19,12,2,6,1,4,0,1,3,2,12.666666666666666,9.0,0.25882352941176473,0.15294117647058825,0.045,4,3,0
20,11,3,6,1,4,0,1,3,2,12.666666666666666,9.0,0.2635294117647059,0.16,0.045,5,3,0
21,11,3,6,1,6,0,1,3,2,12.666666666666666,9.0,0.27058823529411763,0.17176470588235293,0.045,5,1,0
22,11,3,6,1,6,0,1,3,2,12.666666666666666,9.0,0.28,0.17882352941176471,0.0475,5,1,0
23,11,3,6,1,6,0,1,3,2,12.666666666666666,9.0,0.28705882352941176,0.19058823529411764,0.05,5,1,0
