,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,40,0,20,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,40,0,20,0,10,0,0,0,0,0.0,0.0,0.010714285714285714,0.0038461538461538464,0.0,0,0,0
2,39,1,20,0,10,0,0,0,0,0.0,0.0,0.02142857142857143,0.007692307692307693,0.0,1,0,0
3,39,1,20,0,10,0,0,0,0,0.0,0.0,0.02857142857142857,0.011538461538461539,0.0,1,0,0
4,39,1,20,0,10,0,0,0,0,0.0,0.0,0.039285714285714285,0.011538461538461539,0.0038461538461538464,1,0,0
5,39,1,20,0,10,0,0,0,0,0.0,0.0,0.05,0.011538461538461539,0.007692307692307693,1,0,0
6,39,1,20,0,10,0,0,0,0,0.0,0.0,0.060714285714285714,0.011538461538461539,0.011538461538461539,1,0,0
7,38,2,20,0,10,0,0,0,0,0.0,0.0,0.07142857142857142,0.011538461538461539,0.015384615384615385,2,0,0
8,38,2,20,0,10,0,0,0,0,0.0,0.0,0.07857142857142857,0.011538461538461539,0.019230769230769232,2,0,0
9,38,2,20,0,10,0,0,0,0,0.0,0.0,0.08928571428571429,0.011538461538461539,0.023076923076923078,2,0,0
10,38,2,20,0,10,0,0,0,0,0.0,0.0,0.09285714285714286,0.015384615384615385,0.026923076923076925,2,0,0
11,37,3,20,0,10,0,0,0,0,18.0,0.0,0.1,0.019230769230769232,0.03076923076923077,2,0,0
12,36,2,20,0,10,0,0,1,0,14.0,0.0,0.10357142857142858,0.023076923076923078,0.03461538461538462,2,0,0
13,36,0,21,0,10,0,0,2,0,14.0,0.0,0.10357142857142858,0.026923076923076925,0.038461538461538464,1,0,0
14,36,0,21,0,10,0,0,2,0,14.0,0.0,0.10357142857142858,0.03076923076923077,0.04230769230769231,1,0,0
15,36,0,21,0,10,0,0,2,0,14.0,0.0,0.11071428571428571,0.03461538461538462,0.046153846153846156,1,0,0
16,36,0,21,0,10,0,0,2,0,14.0,0.0,0.11785714285714285,0.038461538461538464,0.05,1,0,0
17,36,0,21,0,10,0,0,2,0,14.0,0.0,0.125,0.04230769230769231,0.05384615384615385,1,0,0
18,36,0,21,0,9,1,0,2,0,14.0,0.0,0.12857142857142856,0.046153846153846156,0.057692307692307696,1,0,1
19,36,0,21,0,9,1,0,2,0,14.0,0.0,0.1357142857142857,0.05,0.057692307692307696,1,0,1
20,35,1,21,0,9,1,0,2,0,14.0,0.0,0.14285714285714285,0.05384615384615385,0.06153846153846154,2,0,1
21,35,1,21,0,9,1,0,2,0,14.0,0.0,0.14642857142857144,0.057692307692307696,0.06538461538461539,2,0,1
22,35,1,21,0,9,1,0,2,0,14.0,0.0,0.15,0.06153846153846154,0.06923076923076923,2,0,1
23,35,1,21,0,9,1,0,2,0,14.0,0.0,0.15714285714285714,0.06538461538461539,0.07307692307692308,2,0,1
24,35,1,21,0,9,1,0,2,0,14.0,0.0,0.16428571428571428,0.06923076923076923,0.07692307692307693,2,0,1
25,34,2,21,0,9,1,0,2,0,12.666666666666666,0.0,0.16785714285714284,0.07307692307692308,0.08076923076923077,2,0,1
26,34,0,21,0,9,1,0,3,0,12.666666666666666,0.0,0.16785714285714284,0.07692307692307693,0.08461538461538462,2,0,1
27,34,0,21,1,9,1,0,3,0,12.666666666666666,0.0,0.16785714285714284,0.08076923076923077,0.08846153846153847,1,1,1
28,34,0,21,1,9,1,0,3,0,12.666666666666666,0.0,0.16785714285714284,0.08076923076923077,0.09230769230769231,1,1,1
29,34,0,20,2,9,0,1,3,0,12.666666666666666,4.0,0.16785714285714284,0.08461538461538462,0.09615384615384616,1,1,0
30,34,0,21,0,9,0,1,3,1,12.666666666666666,4.0,0.16785714285714284,0.08461538461538462,0.09615384615384616,0,1,0
31,34,0,21,0,9,0,1,3,1,12.666666666666666,4.0,0.16785714285714284,0.08461538461538462,0.09615384615384616,0,1,0
32,34,0,21,0,9,0,1,3,1,12.666666666666666,4.0,0.16785714285714284,0.08846153846153847,0.1,0,1,0
33,34,0,21,0,9,0,1,3,1,12.666666666666666,4.0,0.16785714285714284,0.09230769230769231,0.10384615384615385,0,1,0
34,34,0,21,0,9,0,1,3,1,12.666666666666666,4.0,0.16785714285714284,0.09615384615384616,0.1076923076923077,0,1,0
35,34,0,21,0,9,0,1,3,1,12.666666666666666,4.0,0.16785714285714284,0.1,0.11153846153846154,0,1,0
36,34,0,21,0,9,0,1,3,1,12.666666666666666,4.0,0.16785714285714284,0.10384615384615385,0.11538461538461539,0,1,0
37,34,0,21,0,9,0,1,3,1,12.666666666666666,4.0,0.16785714285714284,0.1076923076923077,0.11923076923076924,0,1,0
38,34,0,21,0,9,0,1,3,1,12.666666666666666,4.0,0.16785714285714284,0.11153846153846154,0.12307692307692308,0,1,0
39,34,0,21,0,9,0,1,3,1,12.666666666666666,4.0,0.17142857142857143,0.11538461538461539,0.12692307692307692,0,1,0
40,34,0,21,0,9,0,1,3,1,12.666666666666666,4.0,0.17142857142857143,0.11923076923076924,0.13076923076923078,0,1,0
41,34,0,21,0,10,0,1,3,1,12.666666666666666,4.0,0.17142857142857143,0.12307692307692308,0.1346153846153846,0,0,0
42,33,1,21,0,10,0,1,3,1,12.666666666666666,4.0,0.17142857142857143,0.12307692307692308,0.13846153846153847,1,0,0
43,33,1,21,0,10,0,1,3,1,12.666666666666666,4.0,0.17142857142857143,0.12692307692307692,0.1423076923076923,1,0,0
44,33,1,20,1,10,0,1,3,1,12.666666666666666,4.0,0.175,0.13076923076923078,0.14615384615384616,1,1,0
45,32,2,20,1,9,1,1,3,1,11.0,4.0,0.17857142857142858,0.13076923076923078,0.15,1,1,1
46,32,0,20,1,9,1,1,4,1,11.0,4.0,0.17857142857142858,0.13076923076923078,0.15,1,1,1
47,32,0,20,1,9,0,2,4,1,11.0,4.0,0.17857142857142858,0.1346153846153846,0.15384615384615385,1,1,0
48,32,0,20,1,9,0,2,4,1,11.0,4.0,0.18214285714285713,0.13846153846153847,0.15384615384615385,1,1,0
49,32,0,20,1,9,0,2,4,1,11.0,4.0,0.18928571428571428,0.1423076923076923,0.15384615384615385,1,1,0
50,32,0,21,1,9,0,2,4,1,11.0,4.0,0.19285714285714287,0.14615384615384616,0.1576923076923077,0,1,0
51,32,0,21,1,9,0,2,4,1,11.0,4.0,0.19642857142857142,0.15,0.16153846153846155,0,1,0
52,32,0,20,2,9,0,2,4,1,11.0,10.0,0.2,0.15384615384615385,0.16538461538461538,0,1,0
53,32,0,20,0,9,0,2,4,2,11.0,10.0,0.20357142857142857,0.15384615384615385,0.16923076923076924,0,1,0
54,32,0,20,0,10,0,2,4,2,11.0,10.0,0.20714285714285716,0.15384615384615385,0.17307692307692307,0,0,0
55,31,1,19,1,10,0,2,4,2,11.0,10.0,0.21071428571428572,0.15384615384615385,0.17692307692307693,1,1,0
56,31,1,19,1,10,0,2,4,2,11.0,10.0,0.21071428571428572,0.15384615384615385,0.18076923076923077,1,1,0
57,31,1,19,1,10,0,2,4,2,11.0,10.0,0.21785714285714286,0.1576923076923077,0.18461538461538463,1,1,0
58,31,1,19,1,10,0,2,4,2,11.0,10.0,0.225,0.16153846153846155,0.18846153846153846,1,1,0
