,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,10,0,5,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,10,0,5,0,2,0,0,0,0,0.0,0.0,0.010714285714285714,0.0,0.0038461538461538464,0,0,0
2,10,0,5,0,2,0,0,0,0,0.0,0.0,0.02142857142857143,0.0,0.007692307692307693,0,0,0
3,10,0,5,0,2,0,0,0,0,0.0,0.0,0.03214285714285714,0.0,0.011538461538461539,0,0,0
4,10,0,5,0,2,0,0,0,0,0.0,0.0,0.04285714285714286,0.0,0.015384615384615385,0,0,0
5,10,0,5,0,2,0,0,0,0,0.0,0.0,0.05,0.0038461538461538464,0.019230769230769232,0,0,0
6,10,0,5,0,2,0,0,0,0,0.0,0.0,0.05714285714285714,0.007692307692307693,0.023076923076923078,0,0,0
7,9,1,5,0,2,0,0,0,0,0.0,0.0,0.06428571428571428,0.011538461538461539,0.026923076923076925,1,0,0
8,9,1,5,0,2,0,0,0,0,0.0,0.0,0.06785714285714285,0.015384615384615385,0.03076923076923077,1,0,0
9,9,1,5,0,2,0,0,0,0,0.0,0.0,0.075,0.019230769230769232,0.03461538461538462,1,0,0
10,9,1,5,0,2,0,0,0,0,0.0,0.0,0.08214285714285714,0.023076923076923078,0.038461538461538464,1,0,0
11,9,1,5,0,2,0,0,0,0,0.0,0.0,0.08928571428571429,0.026923076923076925,0.04230769230769231,1,0,0
12,9,1,5,0,2,0,0,0,0,0.0,0.0,0.09642857142857143,0.03076923076923077,0.046153846153846156,1,0,0
13,9,1,5,0,2,0,0,0,0,0.0,0.0,0.10357142857142858,0.03461538461538462,0.05,1,0,0
14,8,2,5,0,2,0,0,0,0,0.0,0.0,0.11071428571428571,0.038461538461538464,0.05384615384615385,2,0,0
15,8,2,5,0,2,0,0,0,0,0.0,0.0,0.11428571428571428,0.04230769230769231,0.057692307692307696,2,0,0
16,8,2,5,0,2,0,0,0,0,0.0,0.0,0.12142857142857143,0.046153846153846156,0.06153846153846154,2,0,0
17,8,2,5,0,2,0,0,0,0,0.0,0.0,0.12857142857142856,0.05,0.06538461538461539,2,0,0
18,8,2,5,0,2,0,0,0,0,0.0,0.0,0.1357142857142857,0.05384615384615385,0.06923076923076923,2,0,0
19,8,2,5,0,2,0,0,0,0,0.0,0.0,0.14285714285714285,0.057692307692307696,0.07307692307692308,2,0,0
20,8,2,5,0,2,0,0,0,0,0.0,0.0,0.15,0.06153846153846154,0.07692307692307693,2,0,0
21,7,3,5,0,2,0,0,0,0,28.0,0.0,0.15714285714285714,0.06538461538461539,0.08076923076923077,2,0,0
22,7,1,4,1,2,0,0,1,0,28.0,0.0,0.16071428571428573,0.06923076923076923,0.08461538461538462,2,1,0
23,7,1,4,1,2,0,0,1,0,28.0,0.0,0.16428571428571428,0.07307692307692308,0.08461538461538462,2,1,0
24,7,1,4,1,2,0,0,1,0,28.0,0.0,0.16785714285714284,0.07692307692307693,0.08461538461538462,2,1,0
25,6,2,4,1,2,0,0,1,0,25.0,0.0,0.17142857142857143,0.08076923076923077,0.08846153846153847,2,1,0
26,6,0,4,1,2,0,0,2,0,25.0,0.0,0.17142857142857143,0.08846153846153847,0.08846153846153847,2,1,0
27,6,0,4,1,2,0,0,2,0,25.0,0.0,0.17142857142857143,0.09230769230769231,0.08846153846153847,2,1,0
28,6,0,4,1,2,0,0,2,0,25.0,0.0,0.175,0.09615384615384616,0.09230769230769231,2,1,0
29,6,0,4,1,2,0,0,2,0,25.0,0.0,0.17857142857142858,0.1,0.09230769230769231,2,1,0
30,6,0,4,1,2,0,0,2,0,25.0,0.0,0.18214285714285713,0.10384615384615385,0.09615384615384616,2,1,0
31,6,0,4,1,2,0,0,2,0,25.0,0.0,0.18571428571428572,0.1076923076923077,0.1,2,1,0
32,6,0,4,1,2,0,0,2,0,25.0,0.0,0.18928571428571428,0.11538461538461539,0.1,2,1,0
33,6,0,4,1,2,0,0,2,0,25.0,0.0,0.19642857142857142,0.11538461538461539,0.1,2,1,0
34,6,0,5,1,2,0,0,2,0,25.0,0.0,0.2,0.11538461538461539,0.10384615384615385,1,1,0
35,6,0,5,1,2,0,0,2,0,25.0,0.0,0.2,0.12307692307692308,0.10384615384615385,1,1,0
36,6,0,6,1,2,0,0,2,0,25.0,0.0,0.20714285714285716,0.12307692307692308,0.10384615384615385,0,1,0
37,6,0,6,1,2,0,0,2,0,25.0,0.0,0.21071428571428572,0.12307692307692308,0.1076923076923077,0,1,0
38,6,0,6,1,2,0,0,2,0,25.0,0.0,0.21785714285714286,0.13076923076923078,0.1076923076923077,0,1,0
39,6,0,6,1,2,0,0,2,0,25.0,0.0,0.225,0.1346153846153846,0.1076923076923077,0,1,0
40,6,0,6,1,2,0,0,2,0,25.0,0.0,0.23214285714285715,0.13846153846153847,0.11153846153846154,0,1,0
41,6,0,6,1,2,0,0,2,0,25.0,0.0,0.2392857142857143,0.14615384615384616,0.11153846153846154,0,1,0
42,6,0,6,1,2,0,0,2,0,25.0,0.0,0.24642857142857144,0.15,0.11153846153846154,0,1,0
43,6,0,6,1,2,0,0,2,0,25.0,0.0,0.25357142857142856,0.15384615384615385,0.11538461538461539,0,1,0
44,6,0,6,1,2,0,0,2,0,25.0,0.0,0.26071428571428573,0.16153846153846155,0.11538461538461539,0,1,0
45,6,0,6,1,2,0,0,2,0,25.0,0.0,0.26785714285714285,0.16538461538461538,0.11538461538461539,0,1,0
46,6,0,6,1,2,0,0,2,0,25.0,0.0,0.275,0.16538461538461538,0.11923076923076924,0,1,0
47,6,0,6,1,2,0,0,2,0,25.0,0.0,0.28214285714285714,0.16923076923076924,0.11923076923076924,0,1,0
