,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,20,0,10,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,20,0,10,0,5,0,0,0,0,0.0,0.0,0.014285714285714285,0.007692307692307693,0.0,0,0,0
2,18,2,10,0,5,0,0,0,0,0.0,0.0,0.02857142857142857,0.015384615384615385,0.0,2,0,0
3,18,2,9,1,5,0,0,0,0,0.0,0.0,0.03571428571428571,0.023076923076923078,0.0,2,1,0
4,17,3,8,2,5,0,0,0,0,4.0,2.0,0.05,0.026923076923076925,0.0,2,1,0
5,16,2,8,0,5,0,0,1,1,5.0,2.0,0.060714285714285714,0.03076923076923077,0.0,2,1,0
6,16,0,8,0,5,0,0,2,1,5.0,2.0,0.06785714285714285,0.03461538461538462,0.0,2,1,0
7,16,0,8,0,5,0,0,2,1,5.0,2.0,0.07857142857142857,0.04230769230769231,0.0,2,1,0
8,16,0,8,0,5,0,0,2,1,5.0,2.0,0.08928571428571429,0.05,0.0,2,1,0
9,16,0,8,0,5,0,0,2,1,5.0,2.0,0.1,0.057692307692307696,0.0,2,1,0
10,16,0,8,0,5,0,0,2,1,5.0,2.0,0.10714285714285714,0.06923076923076923,0.0,2,1,0
11,16,0,7,1,5,0,0,2,1,5.0,2.0,0.11428571428571428,0.08076923076923077,0.0,2,2,0
12,16,0,7,1,5,0,0,2,1,5.0,2.0,0.125,0.08461538461538462,0.0038461538461538464,2,2,0
13,16,0,7,1,5,0,0,2,1,5.0,2.0,0.1357142857142857,0.09230769230769231,0.007692307692307693,2,2,0
14,16,0,8,1,5,0,0,2,1,5.0,2.0,0.14642857142857144,0.1,0.011538461538461539,1,2,0
15,16,0,8,1,5,0,0,2,1,5.0,2.0,0.15357142857142858,0.1076923076923077,0.015384615384615385,1,2,0
16,16,0,8,1,5,0,0,2,1,5.0,2.0,0.16428571428571428,0.11538461538461539,0.019230769230769232,1,2,0
17,16,0,8,1,6,0,0,2,1,5.0,2.0,0.175,0.12307692307692308,0.023076923076923078,1,1,0
18,16,0,9,1,6,0,0,2,1,5.0,2.0,0.18571428571428572,0.12307692307692308,0.026923076923076925,0,1,0
19,16,0,9,1,6,0,0,2,1,5.0,2.0,0.19285714285714287,0.12692307692307692,0.03076923076923077,0,1,0
20,16,0,9,1,6,0,0,2,1,5.0,2.0,0.20357142857142857,0.13076923076923078,0.03461538461538462,0,1,0
21,16,0,8,2,6,0,0,2,1,5.0,11.0,0.21428571428571427,0.1346153846153846,0.038461538461538464,0,1,0
22,15,1,8,0,6,0,0,2,2,5.0,11.0,0.225,0.13846153846153847,0.04230769230769231,1,1,0
23,15,1,8,0,6,0,0,2,2,5.0,11.0,0.23214285714285715,0.1423076923076923,0.046153846153846156,1,1,0
24,14,2,8,0,6,0,0,2,2,4.666666666666667,11.0,0.24285714285714285,0.15,0.05,1,1,0
25,14,0,8,0,6,0,0,3,2,4.666666666666667,11.0,0.25,0.1576923076923077,0.05384615384615385,1,1,0
26,14,0,8,0,6,0,0,3,2,4.666666666666667,11.0,0.2571428571428571,0.16538461538461538,0.057692307692307696,1,1,0
27,14,0,9,0,6,0,0,3,2,4.666666666666667,11.0,0.26785714285714285,0.17307692307692307,0.06153846153846154,0,1,0
28,14,0,9,0,6,0,0,3,2,4.666666666666667,11.0,0.275,0.18076923076923077,0.06538461538461539,0,1,0
29,14,0,9,0,6,0,0,3,2,4.666666666666667,11.0,0.2857142857142857,0.18846153846153846,0.06923076923076923,0,1,0
30,14,0,9,0,6,0,0,3,2,4.666666666666667,11.0,0.29285714285714287,0.19615384615384615,0.07307692307692308,0,1,0
31,14,0,9,0,6,0,0,3,2,4.666666666666667,11.0,0.30357142857142855,0.20384615384615384,0.07692307692307693,0,1,0
32,14,0,9,0,6,0,0,3,2,4.666666666666667,11.0,0.3107142857142857,0.2076923076923077,0.08076923076923077,0,1,0
33,14,0,9,0,6,0,0,3,2,4.666666666666667,11.0,0.31785714285714284,0.2153846153846154,0.08461538461538462,0,1,0
34,14,0,9,0,6,1,0,3,2,4.666666666666667,11.0,0.325,0.2153846153846154,0.08846153846153847,0,0,1
35,14,0,9,0,6,1,0,3,2,4.666666666666667,11.0,0.33214285714285713,0.2153846153846154,0.08846153846153847,0,0,1
36,14,0,8,1,6,1,0,3,2,4.666666666666667,11.0,0.3392857142857143,0.2153846153846154,0.09230769230769231,0,1,1
37,14,0,8,1,6,1,0,3,2,4.666666666666667,11.0,0.3464285714285714,0.2153846153846154,0.09615384615384616,0,1,1
38,13,1,8,1,6,1,0,3,2,4.666666666666667,11.0,0.3535714285714286,0.21923076923076923,0.1,1,1,1
39,13,1,8,1,6,1,0,3,2,4.666666666666667,11.0,0.35714285714285715,0.21923076923076923,0.10384615384615385,1,1,1
40,12,2,8,1,6,1,0,3,2,4.5,11.0,0.3678571428571429,0.2230769230769231,0.1076923076923077,1,1,1
41,11,1,8,1,6,1,0,4,2,4.5,11.0,0.375,0.22692307692307692,0.11153846153846154,2,1,1
42,11,1,8,1,6,1,0,4,2,4.5,11.0,0.37857142857142856,0.23076923076923078,0.11538461538461539,2,1,1
43,11,1,8,1,6,1,0,4,2,4.5,11.0,0.38571428571428573,0.23461538461538461,0.11923076923076924,2,1,1
44,10,2,8,1,6,1,0,4,2,4.8,11.0,0.39285714285714285,0.23846153846153847,0.12307692307692308,2,1,1
45,9,1,8,1,6,1,0,5,2,4.8,11.0,0.3964285714285714,0.2423076923076923,0.12692307692307692,3,1,1
