,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,20,0,10,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,20,0,10,0,5,0,0,0,0,0.0,0.0,0.02142857142857143,0.0,0.0,0,0,0
2,19,1,10,0,5,0,0,0,0,0.0,0.0,0.04285714285714286,0.0,0.0,1,0,0
3,19,1,10,0,5,0,0,0,0,0.0,0.0,0.060714285714285714,0.0,0.0,1,0,0
4,19,1,10,0,5,0,0,0,0,0.0,0.0,0.08214285714285714,0.0,0.0,1,0,0
5,19,1,10,0,5,0,0,0,0,0.0,0.0,0.10357142857142858,0.0,0.0,1,0,0
6,18,2,10,0,5,0,0,0,0,0.0,0.0,0.12142857142857143,0.0038461538461538464,0.0,2,0,0
7,18,2,10,0,5,0,0,0,0,0.0,0.0,0.1357142857142857,0.007692307692307693,0.0,2,0,0
8,17,3,10,0,5,0,0,0,0,0.0,0.0,0.15357142857142858,0.011538461538461539,0.0,3,0,0
9,17,3,10,0,5,0,0,0,0,0.0,0.0,0.16785714285714284,0.015384615384615385,0.0,3,0,0
10,17,3,10,0,5,0,0,0,0,0.0,0.0,0.18571428571428572,0.019230769230769232,0.0,3,0,0
11,17,3,10,0,5,0,0,0,0,0.0,0.0,0.2,0.026923076923076925,0.0,3,0,0
12,17,3,10,0,5,0,0,0,0,0.0,0.0,0.21428571428571427,0.03461538461538462,0.0,3,0,0
13,15,5,10,0,5,0,0,0,0,16.0,0.0,0.22857142857142856,0.04230769230769231,0.0,3,0,0
14,15,1,10,0,5,0,0,2,0,16.0,0.0,0.2357142857142857,0.05,0.0,3,0,0
15,15,1,10,0,5,0,0,2,0,16.0,0.0,0.2392857142857143,0.06153846153846154,0.0,3,0,0
16,15,1,10,0,5,0,0,2,0,16.0,0.0,0.25,0.07307692307692308,0.0,3,0,0
17,14,2,11,0,5,0,0,2,0,18.0,0.0,0.26071428571428573,0.08461538461538462,0.0,2,0,0
18,14,0,11,0,5,0,0,3,0,18.0,0.0,0.2642857142857143,0.09615384615384616,0.0,2,0,0
19,13,1,11,0,5,0,0,3,0,18.0,0.0,0.26785714285714285,0.1076923076923077,0.0,3,0,0
20,13,1,11,0,5,0,0,3,0,18.0,0.0,0.275,0.11923076923076924,0.0,3,0,0
21,13,1,11,0,5,0,0,3,0,18.0,0.0,0.2857142857142857,0.12692307692307692,0.0,3,0,0
22,13,1,12,0,5,0,0,3,0,18.0,0.0,0.29285714285714287,0.13076923076923078,0.0,2,0,0
23,13,1,13,0,5,0,0,3,0,18.0,0.0,0.29642857142857143,0.1346153846153846,0.0,1,0,0
24,13,1,13,0,5,0,0,3,0,18.0,0.0,0.30357142857142855,0.1423076923076923,0.0,1,0,0
25,13,1,13,0,5,0,0,3,0,18.0,0.0,0.3142857142857143,0.15,0.0,1,0,0
26,13,1,13,0,5,0,0,3,0,18.0,0.0,0.325,0.1576923076923077,0.0,1,0,0
27,11,3,13,0,5,0,0,3,0,17.5,0.0,0.33214285714285713,0.16538461538461538,0.0,2,0,0
