,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,10,0,5,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,10,0,5,0,2,0,0,0,0,0.0,0.0,0.010714285714285714,0.007692307692307693,0.0038461538461538464,0,0,0
2,10,0,5,0,2,0,0,0,0,0.0,0.0,0.02142857142857143,0.015384615384615385,0.007692307692307693,0,0,0
3,9,1,5,0,2,0,0,0,0,0.0,0.0,0.03214285714285714,0.023076923076923078,0.011538461538461539,1,0,0
4,9,1,5,0,2,0,0,0,0,0.0,0.0,0.039285714285714285,0.03076923076923077,0.015384615384615385,1,0,0
5,9,1,5,0,2,0,0,0,0,0.0,0.0,0.05,0.038461538461538464,0.019230769230769232,1,0,0
6,8,2,5,0,2,0,0,0,0,6.0,0.0,0.060714285714285714,0.046153846153846156,0.023076923076923078,1,0,0
7,8,0,5,0,2,0,0,1,0,6.0,0.0,0.06785714285714285,0.05384615384615385,0.026923076923076925,1,0,0
8,7,1,5,0,2,0,0,1,0,6.0,0.0,0.075,0.06153846153846154,0.03076923076923077,2,0,0
9,7,1,5,0,2,0,0,1,0,6.0,0.0,0.08214285714285714,0.06923076923076923,0.03461538461538462,2,0,0
10,7,1,5,0,2,0,0,1,0,6.0,0.0,0.08928571428571429,0.07692307692307693,0.038461538461538464,2,0,0
11,7,1,5,0,1,1,0,1,0,6.0,0.0,0.1,0.08461538461538462,0.04230769230769231,2,0,1
12,7,1,5,0,1,1,0,1,0,6.0,0.0,0.11071428571428571,0.09230769230769231,0.04230769230769231,2,0,1
13,6,2,5,0,1,1,0,1,0,8.0,0.0,0.12142857142857143,0.1,0.04230769230769231,2,0,1
14,6,0,4,1,1,1,0,2,0,8.0,0.0,0.12857142857142856,0.1076923076923077,0.046153846153846156,2,1,1
15,6,0,4,1,1,1,0,2,0,8.0,0.0,0.1357142857142857,0.11153846153846154,0.05,2,1,1
16,6,0,4,1,1,1,0,2,0,8.0,0.0,0.14642857142857144,0.11923076923076924,0.05384615384615385,2,1,1
17,6,0,4,1,1,1,0,2,0,8.0,0.0,0.15714285714285714,0.12692307692307692,0.057692307692307696,2,1,1
18,6,0,4,1,1,1,0,2,0,8.0,0.0,0.16785714285714284,0.1346153846153846,0.06153846153846154,2,1,1
19,5,1,5,1,1,1,0,2,0,8.0,0.0,0.17857142857142858,0.1423076923076923,0.06538461538461539,2,1,1
20,5,1,4,2,1,1,0,2,0,8.0,12.0,0.18214285714285713,0.15,0.06923076923076923,2,1,1
21,5,1,4,0,1,0,1,2,1,8.0,12.0,0.19285714285714287,0.15384615384615385,0.07307692307692308,2,1,0
22,5,1,4,0,1,0,1,2,1,8.0,12.0,0.20357142857142857,0.1576923076923077,0.07307692307692308,2,1,0
23,4,2,4,0,1,0,1,2,1,8.0,12.0,0.21428571428571427,0.16538461538461538,0.07307692307692308,3,1,0
24,4,2,5,0,1,0,1,2,1,8.0,12.0,0.21785714285714286,0.17307692307692307,0.07692307692307693,2,1,0
25,4,2,5,0,1,0,1,2,1,8.0,12.0,0.225,0.18076923076923077,0.08076923076923077,2,1,0
26,4,2,5,0,1,0,1,2,1,8.0,12.0,0.23214285714285715,0.18846153846153846,0.08461538461538462,2,1,0
27,4,2,5,0,1,0,1,2,1,8.0,12.0,0.2392857142857143,0.19615384615384615,0.08846153846153847,2,1,0
28,4,2,5,0,1,0,1,2,1,8.0,12.0,0.24642857142857144,0.20384615384615384,0.09230769230769231,2,1,0
29,4,2,5,0,1,0,1,2,1,8.0,12.0,0.25357142857142856,0.21153846153846154,0.09615384615384616,2,1,0
30,4,2,5,0,1,0,1,2,1,8.0,12.0,0.26071428571428573,0.2153846153846154,0.1,2,1,0
31,4,2,5,0,2,0,1,2,1,8.0,12.0,0.2642857142857143,0.21923076923076923,0.10384615384615385,2,0,0
32,4,2,5,0,2,0,1,2,1,8.0,12.0,0.2714285714285714,0.2230769230769231,0.1076923076923077,2,0,0
33,3,3,5,0,2,0,1,2,1,8.0,12.0,0.2785714285714286,0.22692307692307692,0.11153846153846154,3,0,0
34,3,3,4,1,2,0,1,2,1,8.0,12.0,0.28214285714285714,0.23076923076923078,0.11538461538461539,3,1,0
35,2,4,4,1,2,0,1,2,1,6.666666666666667,12.0,0.2892857142857143,0.23461538461538461,0.11923076923076924,3,1,0
36,2,2,4,1,2,0,1,3,1,6.666666666666667,12.0,0.2892857142857143,0.2423076923076923,0.12307692307692308,3,1,0
37,2,2,4,1,2,0,1,3,1,6.666666666666667,12.0,0.29642857142857143,0.25,0.12692307692307692,3,1,0
38,2,2,4,1,2,0,1,3,1,6.666666666666667,12.0,0.30714285714285716,0.25769230769230766,0.13076923076923078,3,1,0
39,2,2,4,1,2,0,1,3,1,6.666666666666667,12.0,0.3142857142857143,0.2653846153846154,0.1346153846153846,3,1,0
40,2,2,5,1,2,0,1,3,1,6.666666666666667,12.0,0.32142857142857145,0.27307692307692305,0.13846153846153847,2,1,0
41,2,2,4,2,2,0,1,3,1,6.666666666666667,13.0,0.32857142857142857,0.28076923076923077,0.1423076923076923,2,1,0
42,2,2,4,0,2,0,1,3,2,6.666666666666667,13.0,0.3357142857142857,0.2846153846153846,0.14615384615384616,2,1,0
43,2,2,4,0,2,0,1,3,2,6.666666666666667,13.0,0.3392857142857143,0.2846153846153846,0.15,2,1,0
44,1,3,4,0,2,0,1,3,2,17.5,13.0,0.35,0.2846153846153846,0.15384615384615385,2,1,0
45,1,1,4,0,3,0,1,4,2,17.5,13.0,0.35714285714285715,0.2846153846153846,0.1576923076923077,2,0,0
46,1,1,4,0,3,0,1,4,2,17.5,13.0,0.36428571428571427,0.2846153846153846,0.16153846153846155,2,0,0
47,1,1,4,0,3,0,1,4,2,17.5,13.0,0.375,0.28846153846153844,0.16538461538461538,2,0,0
48,1,1,4,0,3,0,1,4,2,17.5,13.0,0.38571428571428573,0.29615384615384616,0.16923076923076924,2,0,0
49,1,1,4,0,3,0,1,4,2,17.5,13.0,0.39285714285714285,0.3038461538461538,0.17307692307692307,2,0,0
50,1,1,4,0,3,0,1,4,2,17.5,13.0,0.4,0.31153846153846154,0.17692307692307693,2,0,0
51,1,1,4,0,3,0,1,4,2,17.5,13.0,0.40714285714285714,0.3192307692307692,0.18076923076923077,2,0,0
52,1,1,5,0,3,0,1,4,2,17.5,13.0,0.4142857142857143,0.3269230769230769,0.18461538461538463,1,0,0
53,1,1,5,0,3,0,1,4,2,17.5,13.0,0.41785714285714287,0.3346153846153846,0.18846153846153846,1,0,0
54,1,1,5,0,3,0,1,4,2,17.5,13.0,0.425,0.3423076923076923,0.19230769230769232,1,0,0
55,1,1,5,0,3,0,1,4,2,17.5,13.0,0.43214285714285716,0.35,0.19615384615384615,1,0,0
56,1,1,5,0,3,0,1,4,2,17.5,13.0,0.4392857142857143,0.3576923076923077,0.2,1,0,0
57,1,1,4,1,3,0,1,4,2,17.5,13.0,0.44642857142857145,0.36538461538461536,0.20384615384615384,1,1,0
58,1,1,4,1,3,0,1,4,2,17.5,13.0,0.45357142857142857,0.36923076923076925,0.2076923076923077,1,1,0
